artist_name,track_name,label,url,,,,,
xphresh,luh,3XL,https://bblisss.bandcamp.com/album/xephon,,,,,
Bullion,Thirty Two,Jagjaguwar,https://bullion.bandcamp.com/album/heaven-is-over,,,,,
Fela Ransome Kuti & His Africa '70, This Is Sad,His Master's Voice,https://felakuti.com/,,,,,
Moomin,Fruits,Closer,https://closermusic.bandcamp.com/album/time-circle,,,,,
Sangre Nueva,Hurt,Worldwide Unlimited,https://sangrenueva.bandcamp.com/album/goteo-ep,,,,,
downstairs J,Three Times,Incienso,https://downstairsj.bandcamp.com/album/basement-etc,,,,,
Space Dimension Controller,2357 A.D.,R & S,https://spacedimensioncontroller.bandcamp.com/album/welcome-to-mikrosector-50,,,,,
DJ Nature,No Gimmicks,Golf Channel,https://www.beatport.com/track/no-gimmicks/7975933,,,,,
Stefan Ringer,YIA,FWM,https://fwmentertainment.bandcamp.com/album/metamusic-ep,,,,,
Juls,Soweto Blues (feat. Busiswa & Jaz Karis),LOF Collective,https://julsbaby.bandcamp.com/track/soweto-blues-featuring-busiswa-and-jaz-karis,,,,,
3 Chairs,Underwater People,Self-released,https://rickwilhite.bandcamp.com/album/3-chairs-collection-1997-2013,,,,,
Ron Trent,"Pop, Dip And Spin",Prescription,https://rontrentrh.bandcamp.com/album/prescription-word-sound-power,,,,,
Karen Nyame KG,Koko feat. Mista Silva,Black Acre,https://karennyamekg.bandcamp.com/album/sensei-ii,,,,,
Nubya Garcia,La cumbia me est llamando (Kaidi Tatham Remix),Concord Jazz,https://nubyagarcia.bandcamp.com/track/la-cumbia-me-est-llamando-kaidi-tatham-remix,,,,,
Julion De'Angelo & Viola Klein,Don't Be Scurred,meakusma,https://meakusma.bandcamp.com/album/we,,,,,
Code kid,Rescue Sanity,Super Black Tapes,https://superblacktapes.bandcamp.com/album/rescue-sanity,,,,,
Clemency,Drum Circles Against Lamentation,2 B REAL,https://clemencyuk.bandcamp.com/album/drum-circles-against-lamentation-the-crude-foyer,,,,,
Lee Gamble,Balloon Copy,Hyperdub,https://leegamble.bandcamp.com/album/a-million-pieces-of-you,,,,,
Tzusing & Hodge,Electrolytes,SVBKVLT,https://svbkvlt.bandcamp.com/album/cache-01,,,,,
Rhyw,Just in Case,Kompakt,https://rhyw.bandcamp.com/album/sing-sin,,,,,
Toddska,Gyal From England,RKS,https://roska.bandcamp.com/album/cowboy-gyal-from-england,,,,,
Two Shell,bzzzd,Self-released,https://twoshell.bandcamp.com/,,,,,
Person Of Interest,Down For,L.I.E.S.,https://liesrecords.bandcamp.com/album/call-this-number,,,,,
Mark Flash,SPIRIT MESSENGER,Detroit Techno Funk Association,https://dtfa.bandcamp.com/album/hors-doeuvres-vol-1,,,,,
DJ Technics,Hands Up (2016),Knucklehead Records,https://djtechnics.bandcamp.com/track/hands-up-2016,,,,,
Strict Face,XT Ring,NLV,https://music.strictface.net/album/pulsers,,,,,
Walton,Homage#2,Self-released,https://walton.bandcamp.com/album/unreleased-tunes,,,,,
MoMa Ready,This Version May Save Lives,HAUS of ALTR,https://momaready.bandcamp.com/album/the-nyc-dance-project,,,,,
Kasper Marott,Megatu,Kompakt,https://kaspermarott.bandcamp.com/album/keflavik-ep,,,,,
Wiley Kat,Avalanche,Wiley Kat Records,https://www.anti-systemic.com/newmusic,,,,,
Anz,Helps Your Two Hips Move,2 B REAL,https://anzdj.bandcamp.com/album/invitation-2-dance,,,,,
"Lisa Frank, Rez Ekbatan",Whisper (Jasmine Infiniti Remix),ROAMANCE,https://roamance.bandcamp.com/album/whisper,,,,,
Glimmerman,Cutlass,First Second Label,https://firstsecondlabel.bandcamp.com/album/step-mode,,,,,
P Money,Stuttering,Self-released,https://music.apple.com/gb/album/untraditional-ep/1585207368?uo=2,,,,,
Cardi B,I Like It (J Wax Remix),Self-released,https://soundcloud.com/jwaxmusic/i-like-it-free-dl,,,,,
Walton,Bullet#10,Self-released,https://walton.bandcamp.com/album/unreleased-tunes,,,,,
Sir Spyro,Check,TEKKERZ,https://sirspyro.bandcamp.com/album/tekkerz-001,,,,,
RP Boo,Beauty Speak of Sounds,Planet Mu,https://rpboo.bandcamp.com/album/established,,,,,
