artist_name,track_name,label,url,,,,
Hoavi,Sosnovka Voices,Balmat,https://balmat.bandcamp.com/album/music-for-six-rooms,,,,
Parris,Crimson Kano,can you feel the sun,https://parris.bandcamp.com/album/soaked-in-indigo-moonlight,,,,
Fela Kuti & Afrika '70,Mister Follow Follow,Universal,https://felakuti.com/,,,,
69,A2-If Mojo Was A.M.,Planet E,,,,,
Herbie Hancock,I Thought It Was You,CBS,https://www.herbiehancock.com/,,,,
Little Simz,Wings,AGE 101: MUSIC,https://littlesimz.bandcamp.com/album/a-curious-tale-of-trials-persons,,,,
Peverelist,Exhale,Livity Sound,https://livitysound.bandcamp.com/album/molten-mirrors-a-decade-of-livity-sound,,,,
Pablo Bozzi,Out of Sight,Grief Into Rage,https://griefintorage.bandcamp.com/releases,,,,
fiyahdred,Anyway (Do It),Hyperdub,https://fiyahdred.bandcamp.com/album/anyway-ep,,,,
Surprise Chef,Crayfish Caper (Nuyorican Broken Mix),Mr Bongo,https://surprisechef.bandcamp.com/album/masters-at-work-harvey-sutherland-remixes,,,,
SHIGETO,Ice breaker,Self-released,https://shigeto.bandcamp.com/track/ice-breaker,,,,
Lady Blacktronika,Shoulda Known Better (Reverso Edit),Allergy Season,https://allergyseason.bandcamp.com/track/shoulda-known-better-reverso-edit,,,,
Koreless,frozen [slow mix],Young,https://koreless.bandcamp.com/album/ag2r-offcuts,,,,
The Rests,Someone To Call My Lover,TAR / MM / UOH,https://tinangelrecords.bandcamp.com/album/dear-janet,,,,
Technotronic,Pump Up The Jam (Avalon Emerson's Marshmallow Test reHEAT),Self-released,http://www.cyberneticedits.com/two,,,,
Chrissy,Suffer (Truth Bomb Pt. 2),Super Rhythm Trax,https://chrissy.bandcamp.com/album/true-stories-ep,,,,
Huey Mnemonic,Groove Thang (P. J. Swerve Mix),Self-released,https://hueymnemonic.bandcamp.com/track/groove-thang-p-j-swerve-mix,,,,
Loraine James,Self Doubt (Leaving The Club Early),Hyperdub,https://lorainejames.bandcamp.com/album/reflection,,,,
Pangaea,Radiohead - Lotus Flower (Pangaea Remix),Self-released,https://pangaeauk.bandcamp.com/track/radiohead-lotus-flower-pangaea-remix,,,,
El-B,1-2-1-2,Self-released,https://el-b.bandcamp.com/album/riproxy,,,,
Robbie Riviera,Feel This (Bok's Dub),Self-released,https://bokbok.bandcamp.com/album/hardbody-dubs-vol-1,,,,
klaus,Sabz,Tanum,https://klausmuzik.bandcamp.com/album/tnm005,,,,
Ramadanman,I Beg You,Hessle Audio ,https://music.hessleaudio.com/album/ramadanman-ep,,,,
DJ ANGELDU$t,FUCK THAT SHIT,TXTRL,https://txtrl.bandcamp.com/album/menace-to-sobriety-vol-1,,,,
The Bug,How bout dat (feat. FFSYTHO),Ninja Tune,https://thebugmusic.bandcamp.com/album/fire-2,,,,
Hindzy D,Target Original Refix,Self-released,https://theoriginalhindzyd.bandcamp.com/album/target-21-ep,,,,
NÍDIA,Nunun,Príncipe,https://principediscos.bandcamp.com/album/s-t-2,,,,
Clouds,Fantazia 2003,Headstrong,https://headstrongrecords.bandcamp.com/track/fantazia-2003,,,,
OSSX,Split Wig,Allergy Season,https://ossx.bandcamp.com/album/split-wig,,,,
Cloudsteppers,Diva Loops,X-Kalay,https://xkalay.com/album/the-limit,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,1. 69 - A2-If Mojo Was A.M. 2. Grief Into Rage - Pablo Bozzi - Out of Sight 3. SHIGETO - Ice Breaker 4. Lady Blacktronika - Shoulda Known Better (Reverso Edit) 5. Technotronic - Pump Up The Jam (Avalon Emerson's Marshmallow Test reHEAT) 6. Chrissy - Suffer (Truth Bomb Pt. 2) 7. Pangaea - Radiohead - Lotus Flower (Pangaea Remix) 8. El-B - 1-2-1-2 9. Ramadanman - I Beg You 10. DJ ANGELDU$t - FUCK THAT SHIT 11. NÍDIA - Nunun 12. Clouds - Fantazia 2003
