artist_name,track_name,label,url,,,,,,,,,
Jonah K,Senseless,Samsara Beats,https://samsarabeats.bandcamp.com/album/senseless-ep,,,,,,,,,
Untitled,B2,Longhaul,https://longhaulrecords.bandcamp.com/album/001,,,,,,,,,
Councils of the Future,Ubervert,Self-released,https://councilsofthefuture.bandcamp.com/album/ubervert,,,,,,,,,
Facta,C Sequence,Wisdom Teeth,https://facta.bandcamp.com/album/in-bloom,,,,,,,,,
Maia Lee,Less But Better,Futureboogie Recordings,https://futureboogie-recordings.bandcamp.com/album/futureboogie-compilation-10,,,,,,,,,
Hodge & Simo Cell,Drums From The West,Livity Sound,https://hodgebristol.bandcamp.com/album/drums-from-the-west-ep,,,,,,,,,
fiyahdred,Anyway (Do It) [Dub],Hyperdub,https://fiyahdred.bandcamp.com/album/anyway-ep,,,,,,,,,
Feline Fine,Route 86,Spinning Around,https://spinningaround.bandcamp.com/album/spinning-around-2021-alumni-va-compilation,,,,,,,,,
LERON CARSON,Bismarck Nite,Sound Signature,https://boomkat.com/products/under-the-conditions,,,,,,,,,
El-B,Wooly Road Creep,Gd4ya,https://el-b.bandcamp.com/album/southside-ep,,,,,,,,,
Wookie,Sunshine In The Rain (Afrodiziaks Remix),Stone Villager,https://teebone.bandcamp.com/album/teebone-presents-garage-years-vol-1,,,,,,,,,
Asquith,Somebody,Roller Rink,https://asquith.bandcamp.com/album/this-is-home-roller001,,,,,,,,,
Macy Rodman,BERLIN (MADAME GAY REMIX),Self-released,https://macyrodman.bandcamp.com/album/neovaginal-dilation-expansion-pack-vol-1-berlin,,,,,,,,,
Tres Demented,Shez Satan,Planet E Communications,https://www.beatport.com/track/shez-satan/1693027,,,,,,,,,
Delroy Edwards,Bells,L.I.E.S. Records,https://liesrecords.bandcamp.com/album/4-club-use-only,,,,,,,,,
Rebeval,Chantage,L.I.E.S. Records,https://liesrecords.bandcamp.com/album/r-beval,,,,,,,,,
Bruce Ivery,Fantasy,Stilove4music,https://still-music.bandcamp.com/album/rush-stilove4music018,,,,,,,,,
K-HAND,Not A Problem,Acacia Records,https://acaciaus.bandcamp.com/album/spice-ep,,,,,,,,,
John Arnold,Universal Mind,Fragile Records,https://johnarnoldmusic.bandcamp.com/album/john-arnold-frg-18,,,,,,,,,
DJ Skull/Ron Maney,Bonus,Self-released,https://djskull1.bandcamp.com/album/dirty-tracks-vol-1,,,,,,,,,
Voiski,5th Dolphin Transmission,Sheik N Beik,https://sheiknbeik.bandcamp.com/album/soundless-pattern-of-the-tortoise-s-walk,,,,,,,,,
MONOBOX,Forwardbase Kodai,M-Plant,https://boomkat.com/products/forwardbase-kodai,,,,,,,,,
SPF 50,Memory Signal,Professional Music,https://professionalmusic.bandcamp.com/album/spf-50-sumimasen,,,,,,,,,
Rhyw,Just in Case,Seilscheibenpfeiler,https://rhyw.bandcamp.com/album/sing-sin,,,,,,,,,
OLIVER HO,HYPNO - unreleased,Death & Leisure,https://deathandleisure.bandcamp.com/album/oliver-ho-archives-vol-2,,,,,,,,,
Olive T,What Comes After,Allergy Season,https://physicallysick3.bandcamp.com/,,,,,,,,,
Finn,Sometimes The Going Gets a Little Tough,Defected,https://finnmccorry.bandcamp.com/album/sometimes-the-going-gets-a-little-tough-2,,,,,,,,,
