artist_name,track_name,label,url
Léa Sen,Hyasynth,Partisan Records,https://leasen.bandcamp.com/album/you-of-now-pt-1
Knucks & Venna,Alpha House,Nodays Off,https://www.roughtrade.com/gb/knucks/alpha-place/cd
Blackhaine,Stained Materials,Fixed Abode,https://blackhaine.bandcamp.com/album/armour-ii
CROOKED MAN,B & E,Mr Bongo,https://mrbongo.bandcamp.com/album/luke-una-presents-soul-cultura
ELLES,Anthem,Naive,https://naivetrax.bandcamp.com/track/elles-anthem
Chisako & Junta,(Kon'nan) Difficulty,EM Records,https://emrecords.bandcamp.com/track/konnan-difficulty
The Maghreban,Got Your Number (feat Nah Eeto),Zoot Records,https://maghreban.bandcamp.com/album/got-your-number
FILM,Discordia,Qilla Records.,https://filmbeatz.bandcamp.com/album/film
Disco Revisted,Gonna Roc U All  Nite,Intangible,https://dbh-music.bandcamp.com/album/int-507-the-crab-legs
DJ JM,Prove It,Goon Club Allstars,https://gooncluballstars.bandcamp.com/album/goon-club-allstars-friends-volume-2
Jack Chrysalis,Coldharbour,Mana,https://jackchrysalis.bandcamp.com/album/jack-chrysalis
DAWL,Axis (Original Mix),Unknown to the Unknown,https://uttu.club/album/beyond-low-earth-orbit
WILES,Slowrush,Ritual Poision,https://ritualpoison.bandcamp.com/album/slowrush-ep
Space Ghost,Little Bit Of Love,PPU,https://space-ghost.bandcamp.com/album/heaven-sent
Novelist,DON'T CRY 4 ME (feat. QENDRESA),MMM YEH,https://www.mmmyeh.com/
Ozel AB,Yahso,Self-released,https://ozelab.bandcamp.com/album/ozel-ab-001
Tribal Brothers,Genesis,Livity Sound,https://renkgrooverecordings.bandcamp.com/album/formation-e-p
Shy One,Candy Floss,Patta x Apron,https://pattaxapron.bandcamp.com/album/better-together-2
Fiyahdred,Log On,Goon Club Allstars,https://gooncluballstars.bandcamp.com/album/goon-club-allstars-friends-volume-2
Tone Control,Illusion (Theo's SS translation),Wolf Music,https://wolfmusicrecords.bandcamp.com/album/illusion-inc-theo-parrish-remix
jitwam,Brooklyn Ballers (musclecars ‘The Stuy Needs Me’ Mix),Roya,https://jitwam.bandcamp.com/album/brooklyn-ballers-remix
JAMAL MOSS,The Lust With-IN,Modern Love,https://boomkat.com/products/thanks-4-the-tracks-u-lost-93eb5e09-774f-48fc-abba-5fb562b3f8dc
TEREKKE,2 The World,Self-released,https://terekke.bandcamp.com/album/digi-001
Forest Drive West,100m,Echocord,https://echocord.bandcamp.com/album/recursion-ep
Tribal Brothers,Formation,Livity Sound,https://renkgrooverecordings.bandcamp.com/album/formation-e-p
DJ Polo & Ramzee,Supermalt ft. Mista Silva,Club Djembe,https://clubdjembe.bandcamp.com/track/supermalt-ft-mista-silva
DJ Chrysalis,I Want To Dance,Public Possession,https://chrysalisdj.bandcamp.com/
Gabe & Jude,How Do We Merge Everything Into One,Gabe & Jude,https://gabejude.bandcamp.com/album/gabe-jude-004
Carlos Lobo,Thing We Cant Explain,Indica,https://indicalabel.bandcamp.com/album/session-4i20-vl1
foodman,Shikaku7,Takuroku,https://foodman.bandcamp.com/album/shikaku
VHOOR,Corre,Self-released,https://vhoor.bandcamp.com/album/baile-bass
Zaltsman,Next Thing (Original Mix),Dansu Discs,https://dansudiscsuk.bandcamp.com/album/in-close-proximity-ep
