artist_name,track_name,label,url					
Skyzoo & The Other Guys,Eminent Domain,First Generation Rich / HiPNOTT,https://otherguysmusic.bandcamp.com/track/eminent-domain
Craig Sherard , See The Stars feat. Amp Fiddler,Black Catalogue,https://blackcataloguemusic.bandcamp.com/album/unexpected-electrics
John Tejada , Genetical Love, deFocus,https://johntejada.bandcamp.com/album/the-matrix-of-us
The Solid Doctor , Faustian Bargain (Original Mix), Pork recordings,https://soliddoctor.bandcamp.com/album/beats-means-highs
the mole , X-pert Profat,Circus Company,https://themole.bandcamp.com/album/the-river-widens
CiM , Do Not Multiply Models (Original Mix), Deslin,https://cimdelsin.bandcamp.com/track/do-not-multiply-models
Inner Science , Amber, PNN, https://plainmusic.bandcamp.com/album/sun-tracks
Site Nonsite , Moss Garden, Obvious Things, https://sitenonsite.bandcamp.com/album/kyoto-ep
Nosaj Thing , Woodland, LuckMe,https://boomkat.com/products/continua-eef25079-f742-45bb-bce4-40c89b34a861
Kreggo , Rising high,dischi nottetempo,https://dischinottetempo.bandcamp.com/album/rally-della-lana
Tour-Maubourg , Just Believe,Pont Neuf,https://tourmaubourg.bandcamp.com/track/just-believe
Yushh , Self Couscous,Wisdoom Teeth,https://wisdomteethuk.bandcamp.com/album/look-mum-no-hands
Ohm & Federsen , Sequence,spclnch,https://spclnch.bandcamp.com/album/archive-c
dj Hyperactive , You're Slippin,Drop Bass Network,https://dropbassnetwork.bandcamp.com/album/even-furthur
Jdotbalance , platinumize (v.1),GUD4U,https://gud4umusic.bandcamp.com/album/gud4u-presents-portion-control-vol-1
Addison Groove , Elevator,Pretty Weird,https://pretty-weird.bandcamp.com/album/eh-wut-ep
Ma Sha , Here We Hear Orange,Rhythm Section International,https://wearerhythmsection.bandcamp.com/album/shouts-2022
STATE OFFF , I Need Some Baile-Gqom, self-released,https://stateofff.bandcamp.com/album/editsss
Ambien Baby , Anger Management (Original),Delicate Records,https://itsdelicaterecords.bandcamp.com/album/taste-the-bass
DEFSET , Chish and Fips, EMK,https://defset.bandcamp.com/album/cycles
Flatmate , Lewisham,Outhouse Sounds,https://outhousesounds.bandcamp.com/album/ohsva002-ukrainian-aid-fundraiser
Majical & Kibir La Amlak , Do You Know?,Before Zero,https://kibir-la-amlak.bandcamp.com/track/do-you-know
Splet , (Sub)Liminal Dub,They/Them Collective,https://splet.bandcamp.com/album/liminal-dub
Black Roots , Dub The Youth,Real Rock, https://blackroots1.bandcamp.com/track/dub-the-youth
Lone Ark,Dadda Dub,NANSA RECORDS,https://alonereggaeshop.bandcamp.com/album/7-lone-ark-dadda
Errol Bellot , What A Wonderful Feeling,Honest Jon's Records,https://boomkat.com/products/watch-how-the-people-dancing-e0f21e47-57d8-452c-a6ab-e9f8fc1b68c4
Bullwackies All Stars , Tribal Dub,Wackies, https://boomkat.com/products/free-for-all-0bd2a45e-2e78-496f-9ee8-2258cb5aeecc
The Meditations , Rebounce, Wackies,https://boomkat.com/products/i-love-jah-ebc2a9d7-d566-4b13-9958-864eef6657f3
Bullwackies All Stars , Dub Seasoning,Wackies,https://boomkat.com/products/free-for-all-0bd2a45e-2e78-496f-9ee8-2258cb5aeecc?taxon_id=107777
KING TUBBY , African Sounds,Jamaican Recordings,https://boomkat.com/products/hometown-hi-fi-dubplate-specials-1975-1979?taxon_id=107777
Al Brown & Skin Flesh and Bones , Ain't no love, Pressure Sounds,https://pressuresounds.bandcamp.com/album/aint-no-love
Mali,I , Heaven Sent ft. Ms Ray, None more Records,https://mali-i.bandcamp.com/album/in-session
