artist,track_name,label,url
Ray Ranking,Tribute to Peter Tosh,Ghetto Cornerstone,https://ghettocornerstone.bandcamp.com/album/tribute-to-peter-tosh
Tesfa Zion & Ray Ranking,Hallelujah,Ghetto Cornerstone,https://ghettocornerstone.bandcamp.com/album/hallelujah?from=hp
Digi Roots,Life Is A Struggle,Spiral Toad Music,https://spiraltoadmusic.bandcamp.com/album/life-is-a-struggle-dub
Aisha & Mad Professor,Guide and Protect,Ariwa,https://ariwavariousartists.bandcamp.com/track/guide-and-protect-aisha
Lamin Fofana,Alter-Destiny,The Trilogy Tapes,https://laminfofana.bandcamp.com/album/it-s-only-a-matter-of-acceleration-now
D-Day,Sweet Sultan,Light in the Attic,https://lightintheattic.bandcamp.com/album/somewhere-between-mutant-pop-electronic-minimalism-shadow-sounds-of-japan-1980-1988
Iury Lech,Here Comes Bellum Omnium Contra Omnes,Muscut,https://muscut.bandcamp.com/album/fundraiser-compilation
Kevin Richard Martin,"Love You Much, Love Too Much",Intercranial,https://kevinrichardmartin.bandcamp.com/album/black
MM/KM,Slip,The Trilogy Tapes,https://thetrilogytapes.bandcamp.com/album/ich-sehe-vasen
Actress,Its me ( g 8 ),Ninja Tune,https://actress.bandcamp.com/album/lxxxviii
Armand Hammer,Don't Lose Your Job (feat. Pink Siifu & Moor Mother),Fat Possum,https://armandhammer.bandcamp.com/album/we-buy-diabetic-test-strips
Gil Scott-Heron,Did You Hear What They Said?,BMG,https://music.apple.com/gb/song/did-you-hear-what-they-said/1621378295
Bex Burch featuring Dan Bitney,Don't go back to sleep,International Anthem,https://bleep.com/release/404088-bex-burch-dont-go-back-to-sleep
"Nappy Nina, JWords",SCRD,Lucid Haus,https://nappynina.bandcamp.com/album/double-down
Freddie Old Soul,Roses ( feat. Ano banks),Self-released,https://freddie1.bandcamp.com/album/the-first-people-2
Earl Sweatshirt & The Alchemist,27 Braids,Gala,https://music.apple.com/gb/song/27-braids/1706552474
Ryuichi Sakamoto,Ma Mère I'Oye,Milan Records,https://milanrecords.com/release/travesia/
Mica Levi,Monk,CURL,https://micalevi.bandcamp.com/album/blue-alibi
J.Lamotta,Seven Weeks,Jazz Montez Records,https://jazzmontez.bandcamp.com/album/jazz-montez-presents-vol-ii
CASISDEAD,Pat Earrings,XL Recordings,https://shop.xlrecordings.com/artist/267991-casisdead
Danny Brown,Tantor,Warp,https://dannybrown.bandcamp.com/album/quaranta
A LARGE SHEET OF MUSCLE,NO GOVERNOR,Self-released,https://umbrog.bandcamp.com/album/the-slag-of-all-alienated-sewage-is-now-a-compacted-heap-called-england
Secret Boyfriend,Spectral Bellgrind,Paralaxe Editions,https://paralaxe-editions.bandcamp.com/album/for-palestine
Saint Abdullah & Eomac,Lonely Is Our Non-Existent House Yard,Planet Mu,https://saintabdullaheomac.bandcamp.com/album/chasing-stateless
Daniel Villarreal,Sunset Cliffs,International Anthem,https://intlanthem.bandcamp.com/album/lados-b
Fabel,Clarisch Beul,Haunt,https://fbel.bandcamp.com/album/photobooth
K-Lone,With U (feat. Eliza Rose),Wisdom Teeth,https://k-lone.bandcamp.com/album/swells
Airhead,Moonrock,Hemlock,https://airhead.bandcamp.com/album/lightness
pmxper,Stitch,Smalltown Supersound,https://boomkat.com/products/pmxper-a50f28f2-b894-42ff-85b0-0f93656db7dc
"Rex, Vejvoda, Milan",Untitled,Versatile,https://shop.versatilerecords.com/album/vidal-benjamin-presents-uprooted-vol-1-by-vladimir-ivkovic
Peter Michael Mackey,you were born to eat oats.....,Self-released,https://petermichaelmackey.bandcamp.com/album/you-were-born-to-eat-oats
upsammy,Being is a Stone,PAN,https://upsammy.bandcamp.com/album/germ-in-a-population-of-buildings
Calibre,Living Without Your Love,Signature,https://calibre.bandcamp.com/album/rudy-2
Snowy,Outside,Swamp 81,https://swamp81.bandcamp.com/track/outside
Sault,Higher,Forever Living Originals,https://saultglobal.bandcamp.com/album/11
